group_name,subgroup_name,subsubgroup_name,food_name,kcal,proteins,carbs,carbs_sugar,fats,fats_saturated,fibers,salt,new_name,deleted
,,,Dessert (aliment moyen),281,4.6,36.6,23.7,12.9,5.2,1.5,0.4,Dessert (aliment moyen),False
entrées et plats composés,salades composées et crudités,-,"Salade de thon et légumes, appertisée",109,9.2,7.7,3.1,4.7,0.6,2.7,1.1,"Salade de thon et légumes, appertisée",False
entrées et plats composés,salades composées et crudités,-,"Salade composée avec viande ou poisson, appertisée",105,8.1,6.4,1.9,5.3,0.2,2.0,1.0,"Salade composée avec viande ou poisson, appertisée",False
entrées et plats composés,salades composées et crudités,-,"Champignons à la grecque, appertisés",56,2.1,4.0,2.4,3.6,0.2,2.4,1.3,"Champignons à la grecque, appertisés",False
entrées et plats composés,salades composées et crudités,-,"Salade de pommes de terre, fait maison",124,2.7,9.9,0.0,8.2,1.4,1.3,1.3,"Salade de pommes de terre, fait maison",False
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous, préemballé",179,4.9,23.7,4.9,6.7,0.7,2.5,1.0,"Taboulé ou Salade de couscous, préemballé",False
entrées et plats composés,salades composées et crudités,-,"Salade de pomme de terre à la piémontaise, préemballée",130,4.5,8.9,1.2,8.3,0.8,0.0,1.1,"Salade de pomme de terre à la piémontaise, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade de riz, appertisée",124,5.1,16.1,1.0,4.4,0.5,1.7,1.1,"Salade de riz, appertisée",False
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes, végétarienne",150,5.7,13.7,2.3,8.1,2.4,1.7,1.0,"Salade de pâtes, végétarienne",False
entrées et plats composés,salades composées et crudités,-,"Crudité, sans assaisonnement (aliment moyen)",29,0.9,3.1,2.3,0.7,0.1,1.5,0.0,"Crudité, sans assaisonnement (aliment moyen)",False
entrées et plats composés,salades composées et crudités,-,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",166,5.2,14.0,2.2,9.9,1.7,2.0,1.0,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Macédoine de légumes en salade, avec sauce, préemballée",122,2.8,7.0,2.3,9.3,0.7,4.1,1.0,"Macédoine de légumes en salade, avec sauce, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",142,8.1,4.9,1.7,10.0,2.4,2.0,0.8,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",168,3.8,17.4,4.6,8.3,0.9,3.3,0.8,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Carottes râpées, avec sauce, préemballées",72,1.0,6.0,5.2,5.0,0.4,3.6,0.7,"Carottes râpées, avec sauce, préemballées",False
entrées et plats composés,salades composées et crudités,-,"Salade de betterave, avec sauce, préemballée",79,1.3,7.4,5.3,4.9,0.4,2.7,0.7,"Salade de betterave, avec sauce, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade de chou ou Coleslaw, avec sauce, préemballée",105,0.9,5.8,4.7,8.1,0.6,3.0,0.9,"Salade de chou ou Coleslaw, avec sauce, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade de concombre à la crème/fromage blanc, préemballée",113,1.1,2.0,1.4,11.3,1.4,1.5,1.1,"Salade de concombre à la crème/fromage blanc, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade de lentilles et saucisse fumée, préemballée",169,7.0,8.9,0.9,11.8,0.9,3.6,0.9,"Salade de lentilles et saucisse fumée, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade grecque, avec sauce, préemballée",77,2.0,1.4,1.4,7.1,2.7,2.0,1.0,"Salade grecque, avec sauce, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Salade de riz à la niçoise, avec sauce, préemballée",135,4.4,15.8,1.4,6.1,0.6,1.5,0.8,"Salade de riz à la niçoise, avec sauce, préemballée",False
entrées et plats composés,salades composées et crudités,-,"Taboulé ou Salade de couscous au poulet, préemballé",175,6.4,20.6,2.5,7.4,0.9,2.0,1.0,"Taboulé ou Salade de couscous au poulet, préemballé",False
entrées et plats composés,soupes,-,"Soupe aux lentilles, préemballée à réchauffer",55,3.7,6.6,0.7,1.1,0.4,1.8,0.4,"Soupe aux lentilles, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, préemballée à réchauffer",30,3.1,2.6,1.2,0.8,0.3,0.4,1.8,"Soupe à la volaille et aux légumes, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux légumes variés, préemballée à réchauffer",39,0.8,5.0,1.7,1.6,0.6,1.1,0.7,"Soupe aux légumes variés, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",42,3.4,2.9,0.9,1.8,0.6,0.7,0.9,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux légumes variés, déshydratée reconstituée",34,0.9,4.4,1.1,1.2,0.4,1.2,0.7,"Soupe aux légumes variés, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",37,0.8,4.5,0.8,1.5,0.6,1.3,0.7,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",30,1.3,3.9,0.8,1.0,0.5,0.6,0.8,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",False
